name,date,open,high,low,close,price,market_cap,total_volume
Bitcoin,01/22/2019,3674.59,3674.59,3531.0,3571.27,333.1474999999999,4477252539.374999,43376134.310925096
Bitcoin,01/26/2019,3555.7,3565.64,3555.7,3563.61,343.6674999999999,4620136994.687499,59854847.07670034
Bitcoin,01/30/2019,3553.12,3553.12,3413.38,3457.88,336.5879758057807,4526519245.630091,30524273.859307867
Bitcoin,02/02/2019,3431.94,3486.58,3431.94,3486.58,323.9763,4358250678.7125,38569972.59373859
Bitcoin,02/06/2019,3454.03,3469.89,3405.84,3405.84,323.9849999999999,4359606956.999999,28711350.70534258
Bitcoin,02/10/2019,3394.01,3675.69,3394.01,3675.69,323.995,4361102298.0,40772300.42284785
Bitcoin,02/14/2019,3631.44,3633.97,3589.66,3589.66,328.0083,4416492355.9725,35073797.880440444
Bitcoin,02/18/2019,3601.23,3886.52,3601.23,3886.52,337.5933,4546689684.735,44434915.106879316
Bitcoin,02/22/2019,3915.01,3976.81,3915.01,3973.64,347.8183,4685738573.94,43131102.62856433
Bitcoin,02/26/2019,4115.34,4115.34,3742.87,3809.21,341.2317,4598267773.35,40263476.29477718
Bitcoin,02/27/2019,3813.38,3819.65,3813.38,3819.65,344.1783,4639316977.02,30212775.72296773
Bitcoin,03/06/2019,3806.95,3860.51,3712.81,3860.51,363.4241291015933,4900092960.69292,51466025.86583119
Bitcoin,03/10/2019,3871.64,3941.6,3861.88,3923.56,363.7649999999999,4906043990.249999,62274660.836041614
Bitcoin,03/14/2019,3860.36,3876.7,3860.36,3876.7,366.15,4939381807.5,45679773.63975148
Bitcoin,03/18/2019,3925.46,4007.71,3925.46,3986.71,418.5783,5648170006.71,234617998.94235379
Bitcoin,03/22/2019,4013.58,4045.57,3983.32,3989.16,414.7083,5597421602.175,338849744.1846642
Bitcoin,03/26/2019,4008.95,4008.95,3927.58,3938.66,395.245,5336222507.25,263499968.5892329
Bitcoin,03/30/2019,4036.16,4103.86,4028.39,4103.86,377.3267,5095655585.9875,99179350.3470273
Bitcoin,04/02/2019,4103.52,4862.23,4103.52,4862.23,387.6233,5236180276.3025,95731301.28432417
Bitcoin,04/06/2019,4955.83,5041.87,4899.02,5041.87,384.9,5200788045.0,152824089.08328944
Bitcoin,04/10/2019,5176.98,5308.91,5172.18,5308.91,374.8683,5066663712.555,109440633.05073106
Bitcoin,04/14/2019,5047.79,5149.31,5047.79,5149.31,376.7883,5093942323.3125,84367865.3742223
Bitcoin,04/18/2019,5039.88,5274.77,5039.88,5274.77,355.3888345541618,4805825477.746428,93722502.0366924
Bitcoin,04/22/2019,5280.35,5380.94,5280.35,5380.94,349.3882854323945,4725799744.63716,100624477.55914839
Bitcoin,04/26/2019,5557.93,5557.93,5203.09,5295.85,351.5500000000001,4756418767.500001,68856354.94119315
Bitcoin,04/29/2019,5256.98,5257.8,5199.76,5199.76,366.7817,4963794289.2375,71063869.31374641
Bitcoin,05/02/2019,5292.8,5450.71,5292.8,5450.71,377.7417,5113527167.07,116848548.38822386
Bitcoin,05/06/2019,5731.49,5803.94,5715.76,5715.76,375.248,5080998638.0,115570302.47559404
Bitcoin,05/10/2019,5841.05,6370.23,5841.05,6370.23,365.7660000000001,4953852406.650002,92282203.67741974
Bitcoin,05/14/2019,7258.26,7990.06,6953.75,7990.06,368.448,4991429534.4,70974036.26141815
Bitcoin,05/18/2019,8192.22,8192.22,7300.66,7300.66,376.951,5108072424.775,91254232.81791146
Bitcoin,05/22/2019,8168.73,8168.73,7665.8,7665.8,374.9649999999999,5082659949.124999,100952560.51474999
Bitcoin,05/26/2019,7861.81,8631.08,7861.81,8631.08,376.472,5104546200.8,74926943.90674321
Bitcoin,05/30/2019,8816.03,8816.03,8310.89,8310.89,379.489,5146696228.575,64120830.50054466
Bitcoin,06/02/2019,8575.65,8743.71,8554.26,8743.71,381.3768000000001,5173729065.540001,66841251.26995943
Bitcoin,06/06/2019,8173.63,8173.63,7683.64,7821.12,374.103,5076166196.7,74772912.71073525
Bitcoin,06/10/2019,8036.11,8036.11,7668.03,8002.73,368.2282000000001,4997777244.500001,62639548.33058211
Bitcoin,06/14/2019,7897.98,8671.51,7897.98,8671.51,376.379,5109881265.075,57857463.42592923
Bitcoin,06/18/2019,8818.61,9312.87,8818.61,9094.02,373.671,5074368104.025,48428933.75856517
Bitcoin,06/22/2019,9285.93,10704.92,9285.93,10704.92,374.448,5086108461.6,38514374.875024594
Bitcoin,06/26/2019,10846.13,12996.12,10846.13,12996.12,361.433,4910799206.825,66593741.913184226
Bitcoin,06/29/2019,11178.68,12352.2,11178.68,11972.56,350.9280000000001,4769269437.600001,88924869.65991856
Bitcoin,07/02/2019,10888.1,10888.1,10639.05,10822.76,346.9798718363186,4716905099.220487,59696950.62553664
Bitcoin,07/06/2019,11975.64,11975.64,10987.25,11279.48,346.9089999999999,4717173182.024999,118502898.82834333
